id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
47,Adore You,Harry Styles,Pop,Chill,0.68,100,0.56,0.67,0.32
48,Water,Tems,R&B,Chill,0.52,97,0.70,0.75,0.45
49,Essence,Wizkid ft. Tems,Afrobeats,Chill,0.60,102,0.88,0.79,0.52
50,Calm Down,Rema & Selena Gomez,Afrobeats,Chill,0.65,107,0.84,0.80,0.41
51,Last Last,Burna Boy,Afrobeats,Chill,0.70,110,0.85,0.83,0.35
52,Super Gremlin,Kodak Black,Hip-Hop,Dark,0.68,72,0.42,0.74,0.10
53,Rich Flex,Drake & 21 Savage,Hip-Hop,Confident,0.66,153,0.52,0.75,0.05
54,Jimmy Cooks,Drake,Hip-Hop,Dark,0.71,165,0.50,0.70,0.02
55,God's Plan,Drake,Hip-Hop,Reflective,0.73,77,0.50,0.75,0.10
56,What Was I Made For,Billie Eilish,Indie,Sad,0.20,70,0.10,0.40,0.95
57,Happier Than Ever,Billie Eilish,Indie,Dynamic,0.60,81,0.30,0.45,0.70
58,Therefore I Am,Billie Eilish,Indie,Confident,0.55,94,0.50,0.65,0.35
59,Greedy,Tate McRae,Pop,Energetic,0.78,111,0.80,0.82,0.10
60,You Broke Me First,Tate McRae,Pop,Sad,0.50,124,0.30,0.60,0.45
61,abcdefu,GAYLE,Pop,Angry,0.75,122,0.60,0.70,0.15
62,Without Me,Halsey,Pop,Melancholic,0.65,136,0.50,0.70,0.30
63,Closer,The Chainsmokers,EDM,Chill,0.65,95,0.60,0.75,0.20
64,Something Just Like This,The Chainsmokers,EDM,Happy,0.78,103,0.80,0.72,0.15
65,Turn Down For What,DJ Snake,EDM,Energetic,0.90,100,0.70,0.60,0.01
66,Lean On,Major Lazer,EDM,Chill,0.70,98,0.85,0.78,0.10
67,Titanium,David Guetta,EDM,Empowering,0.85,126,0.60,0.65,0.05
68,On My Mind,Ellie Goulding,Pop,Energetic,0.75,124,0.70,0.78,0.12
69,Love Nwantiti,CKay,Afrobeats,Chill,0.60,98,0.88,0.80,0.50
70,Peaches & Eggplants,Young Nudy,Hip-Hop,Chill,0.65,110,0.75,0.78,0.22
